0001024	9905196
0001024	9907066
0001028	9712195
0001028	9812136
0001076	9703189
0001077	9702093
0001098	9510017
0001145	9803132
0001167	9903077
0001202	9808042
0001202	9810022
0001202	9912092
0002072	9911055
0002078	0001028
0002078	9812136
0002078	9912033
0002161	0002072
0002161	9906064
0002193	9802068
0002229	9410237
0002230	9902121
0002230	9906064
0003118	9301052
0003118	9906064
0003176	9903077
0003188	9808042
0003188	9912092
0003237	9906064
0004014	9510017
0004014	9906064
0004014	9911015
0004014	9911055
0004049	9405109
0004049	9405194
0004049	9606181
0004049	9701149
0004049	9912077
0005096	9305032
0005096	9901061
0005159	9710153
0005159	9801195
0005199	9802068
0005253	9802068
0005266	9812013
0005266	9912055
0005279	0003188
0005279	9808042
0005279	9810022
0005279	9912092
0006050	9411057
0006068	9906064
0006156	9412229
0006156	9604044
0006156	9805008
0007022	9906064
0007022	9907209
0008001	9509066
0008001	9707176
0009122	9906064
0010063	9906064
0010063	9911055
0010175	0001167
0011081	9608079
0011118	9906064
0012150	9311092
0012172	0003139
0012182	9706217
0012182	9905165
0012182	9905196
0012182	9906064
0012182	9907209
0101113	0001024
0101219	0005159
0101219	9510017
0101219	9707228
0101219	9710009
0102006	9505100
0102033	9706217
0102033	9905165
0102039	9202057
0102039	9411054
0102084	9510017
0102180	0006156
0102182	0005199
0102182	9802068
0102182	9810147
0102188	0102181
0102188	9612194
0103081	9906064
0103086	0010076
0103086	0102006
0103086	9309140
0103086	9411057
0103086	9602060
0103101	0001024
0103101	9905196
0103112	9711002
0103182	0102084
0103182	9701149
0103182	9906064
0103247	9903048
0104005	9705117
0104066	9609052
0104178	0001024
0104231	9608008
0105082	0001167
0105082	0010175
0105107	9202057
0105108	9906064
0105111	9301052
0105111	9709091
0105145	9701060
0105145	9707257
0105259	0001202
0105259	9808042
0105259	9912092
0106143	9906064
0106143	9907209
0107005	9505157
0107083	9710048
0107083	9906064
0107208	9701060
0107214	9709107
0107214	9911150
0107222	0008063
0107222	9903113
0107222	9912067
0107250	0010175
0108004	9602089
0108110	9503157
0108110	9912180
0108115	9903190
0108174	9801141
0109068	0104005
0109068	9906064
0109073	9309030
0109174	0008001
0109174	9903048
0109174	9906064
0110057	0105082
0110057	9204057
0110105	9705046
0110105	9803265
0110137	0006068
0110191	0001167
0110191	0005253
0110191	0010175
0110260	0105111
0110260	9301052
0110262	9302037
0111004	9303048
0111004	9307168
0111122	0102188
0111161	9611214
0111207	9805086
0111207	9906064
0111255	9906064
0111264	0104005
0111264	9906064
0112030	0006229
0112030	9612194
0112030	9705052
0112030	9705124
0112030	9712132
0112043	0001076
0112043	0004194
0112043	9608096
0112043	9703189
0112043	9709091
0112043	9710009
0112055	9204099
0112141	0102039
0112141	0110057
0112141	9210109
0201181	0004194
0201181	0112043
0201181	9703189
0202060	0009122
0202060	9906064
0202074	9410029
0202074	9510017
0202080	0102039
0202080	9202057
0202080	9210109
0202080	9411054
0202156	9803002
0202178	9711002
0202178	9810171
0203274	9906064
0204160	0108115
0204198	0101134
0204198	0108170
0204198	9903048
0204198	9903190
0204242	9906064
0205174	9710009
0206049	0003118
0206049	0110260
0206146	0010063
0206146	9906064
0206146	9911055
0207267	0003139
0207267	0012172
0208102	0003118
0208126	0101219
0209044	0003139
0209044	0012172
0209044	0107222
0209044	0207267
0209044	9804177
9210109	9202057
9302126	9204099
9302126	9302037
9304125	9302006
9306083	9301058
9306083	9307168
9310194	9204099
9312040	9201026
9401042	9202047
9402017	9208008
9402107	9309140
9403066	9202047
9403066	9302084
9403175	9402107
9403186	9204099
9403186	9302126
9405109	9405194
9405126	9208007
9405194	9312206
9405194	9405109
9406129	9208007
9407186	9401042
9408035	9210037
9408040	9302126
9408097	9405126
9409048	9201002
9409048	9208007
9409098	9402107
9410016	9304114
9410237	9302126
9411020	9203052
9411020	9307168
9411100	9409098
9411210	9211072
9411210	9309140
9411210	9310153
9411210	9402107
9411210	9402147
9411210	9409098
9411234	9308122
9412075	9303099
9412075	9401061
9412131	9303048
9412131	9307168
9412136	9306132
9503042	9302006
9503157	9303047
9503217	9210037
9503217	9304125
9505091	9411004
9505091	9503157
9505100	9411057
9507011	9411057
9507011	9505100
9507050	9411234
9507050	9505054
9507064	9505054
9507074	9403109
9507153	9308122
9507153	9411234
9507153	9507050
9508005	9302006
9508141	9211097
9508154	9505054
